Youtube Prompts
Bob Marley
Peter Tosh
Jimmy Cliff
Toots and the Maytals
Burning Spear
Buju Banton
Steel Pulse
Third World
Black Uhuru
Damian Marley
Ziggy Marley
Alpha Blondy
Culture
Gregory Isaacs
Dennis Brown
Israel Vibration
Barrington Levy
"Lee ""Scratch"" Perry"
The Wailers
Desmond Dekker
Freddie McGregor
The Skatalites
Sly and Robbie
Maxi Priest
Linton Kwesi Johnson
Bunny Wailer
Lucky Dube
Inner Circle
Yellowman
Eek-a-Mouse
Sean Paul
Shaggy
Max Romeo
Jacob Miller
Horace Andy
Junior Murvin
Ijahman Levi
The Abyssinians
Johnny Clarke
Alton Ellis
Sugar Minott
The Gladiators
The Mighty Diamonds
Peter Broggs
Big Youth
Junior Reid
Sister Carol
Ras Michael and the Sons of Negus
The Congos
The Melodians
Burning Flames
Ken Boothe
Cornell Campbell
John Holt
U-Roy
Prince Far I
The Heptones
Augustus Pablo
Keith Hudson
The Meditations
The Viceroys
Mighty Sparrow
Mighty Shadow
The Mighty Chalkdust
Machel Montano
Calypso Rose
Bob Andy
Wayne Wonder
Luciano
Tony Rebel
Garnett Silk
Sizzla
Capleton
Bounty Killer
Beenie Man
Elephant Man
Lady Saw
Lady G
Ini Kamoze
Mad Cobra
Yellowman and Fathead
Aswad
Steel Pulse
Black Slate
Misty In Roots
Junior Byles
Pablo Moses
Michael Prophet
Mighty Diamonds
Junior Delgado
Half Pint
Cocoa Tea
Frankie Paul
Admiral Tibet
Tony Tuff
Junior Kelly
Luciano
Jah Cure
Etana
Chronixx
