group,token,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,target
reggae_0,1,31.421955,0.33699697,18.886206,34.063065,41.96898,23.082773,465.98532,659.94257,158.09854,97.453186,3.4053247,0.31923813,2.3710601,3.3807266,4.439445,2.068385,41.13386,20.274918,20.39423,8.216447,3.69497,0.6891674,12.651906,0.5532248,10.174593,1.1008079,-5.035338,-2.5860953,7.0606103,1.9281344,0.08196808,1.4913363,1.3707314,0.51095563,0.3098614,13.829837,7.433015,2.6891284,15.729229,1.0318247,737.17664,0.38746327,1092.2104,0.22741999,-77.259865,-1.0907546,1798.3037,0.20205449,872.05817,0.41047627,-70.23554,-1.1114028,2904.0308,0.14390059,791.57886,0.5206804,-73.719444,-1.0277139,-9.72056,-0.61268497,19.3791,0.3200463,-0.004415279,-13.032361,-0.012541091,-0.95645267,3.474679,0.65296644,13.223008,0.50209093,9.62825,1.2263141,-6.036198,-2.3062632,5.5765295,2.5992854,-8.993669,18.432531,-0.057806287,-0.00708202,4.1562295,5.3053055,3.32997,0.20424241,0.19608334,0.08032258,0.054918345,-13.872104,2
reggae_0,2,32.797302,0.3264549,18.168915,38.41209,42.1331,23.964184,498.65897,786.3641,183.84398,203.79636,3.5415218,0.3141488,2.498329,3.6060534,4.5554957,2.0571668,47.12575,23.388807,22.650858,11.187532,3.8154154,0.64354426,10.934025,0.6773486,8.76745,1.5181863,-4.83685,-2.7395928,4.884293,2.968736,0.06074822,1.3540139,1.4447562,0.56712264,-0.37487948,-11.263145,3.0979319,5.094762,13.847818,0.9423207,720.3108,0.4110624,1067.0696,0.28811198,-75.64578,-1.0845178,1763.8,0.22100604,918.2258,0.44120237,-64.354416,-1.1753061,2845.7302,0.12679276,729.7231,0.66069704,-68.419075,-1.0686017,-8.137424,-0.8859724,17.830622,0.38802457,-0.015372149,-3.4885867,-0.01069254,-1.1037669,3.7797678,0.61471695,11.348218,0.6695325,7.789238,1.7803077,-5.802169,-2.3412442,2.8325233,4.974489,-8.98689,18.884247,-0.055035625,-0.007181475,3.822054,5.3053055,3.6474164,0.1936111,0.20137241,0.07066666,0.052149355,-13.800057,2
reggae_0,3,29.755125,0.32665962,18.265005,30.798834,39.575573,21.310568,455.4226,553.2964,147.89275,144.619,3.3080306,0.30693543,2.3188813,3.3648326,4.2536125,1.9347312,38.65664,21.126976,18.435701,10.044174,3.7978492,0.64698493,15.582219,0.4457516,12.451305,1.0363322,-4.624636,-3.008471,7.9131594,2.1023154,0.0671683,1.5891932,1.342763,0.5322981,0.27326193,16.90451,0.703954,36.081085,14.636627,1.8235275,660.2575,0.3981918,1152.4733,0.21092546,-65.57261,-1.2439898,1712.5159,0.19722,933.2966,0.3872544,-63.055443,-1.1760956,2829.2937,0.16454396,840.9511,0.52117765,-67.31401,-1.0663193,-11.138159,-0.70605624,20.475132,0.3529274,-0.00200865,-26.533232,-0.01578087,-0.8806737,3.394617,0.6267266,16.102007,0.4446432,11.1987705,1.1874022,-6.414153,-2.1514115,5.077071,3.1811278,-12.464576,21.465515,-0.0629574,-0.013993793,4.876189,5.4054055,3.0211482,0.24166666,0.30924731,0.08333333,0.07924996,-13.467519,2
reggae_0,4,30.454899,0.30894434,18.497446,33.61246,37.573975,19.076529,329.6472,531.17847,174.34557,191.89853,3.1937575,0.29329756,2.3935857,3.2405126,3.9741507,1.580565,37.226967,17.960264,17.81895,8.676504,3.486083,0.6802765,14.836157,0.4646312,11.500854,0.8113229,-7.3871717,-2.0601974,7.508617,1.8856287,0.077757254,1.764271,1.2556477,0.5192372,1.3617033,3.2439508,7.0402384,3.1216745,17.597836,0.938045,616.7634,0.41853115,1116.1825,0.19684845,-59.098442,-1.3076053,1659.1367,0.18571055,828.1729,0.29162154,-53.799118,-1.2833025,2785.6484,0.15576665,791.6927,0.48201212,-59.11472,-1.1227806,-11.420645,-0.45129094,21.051952,0.3000113,-0.007369251,-8.3784485,-0.014896826,-0.63460726,3.3449597,0.6235663,16.297626,0.39437854,10.525881,0.88573146,-8.489109,-1.8290514,5.8042817,2.4622114,-10.438137,19.187836,-0.052282475,-0.009611905,3.8340905,5.2052054,2.7190335,0.2848148,0.2630782,0.074999996,0.05975328,-13.879926,2
reggae_1,1,23.527208,0.3972051,15.899681,18.519705,30.66293,14.763248,206.45575,218.21028,161.67429,155.7401,2.4925199,0.37026632,1.6651604,2.3996289,3.3870873,1.7219269,28.110727,12.198667,12.292531,6.629133,2.494022,0.46249944,16.145935,0.44944158,14.3783245,0.7256395,11.81897,0.9608761,-1.0674258,-10.350542,0.08517615,1.5903355,1.3155528,0.5752896,-0.38633373,-10.375007,4.9274635,2.380274,18.310097,0.5093386,712.61566,0.37759814,1205.6938,0.18808731,-35.55181,-1.6815939,1855.8229,0.18571812,737.09375,0.53260076,-41.54991,-1.3217881,2874.4736,0.124253325,691.4519,0.45193022,-41.17756,-1.3300191,-13.375647,-0.4238171,19.521324,0.34586188,-0.00748036,-5.0282354,-0.018547513,-0.4454299,2.4651575,0.45862842,16.996502,0.36923188,14.67269,0.71325326,12.146736,0.9746147,-1.2485256,-8.772477,-7.6245427,14.699966,-0.001181264,-0.014178751,2.6883585,3.6036036,2.4169185,0.35458332,0.28068337,0.058000002,0.022568414,-17.526516,2
reggae_1,2,23.847078,0.43372893,15.6983595,18.033092,35.34846,19.6501,191.2674,165.0757,129.1691,95.99421,2.5246105,0.38814968,1.5733674,2.4401453,3.5026698,1.9293025,30.139116,12.955291,13.457436,8.083645,2.4917505,0.4835478,16.654827,0.33148596,12.621883,0.8773428,10.280572,1.0241503,0.03827038,280.02167,0.069305666,1.8508557,1.1924633,0.5474226,-0.6190094,-6.4587183,4.272415,4.0003004,18.188362,0.7052812,734.5084,0.38574225,1200.8446,0.1837757,-36.622684,-1.6799061,1877.4904,0.18080272,773.3705,0.49045134,-40.287594,-1.3619463,2896.0144,0.12686943,764.4512,0.41499612,-40.57122,-1.3500645,-12.54161,-0.46029004,19.227808,0.31909683,-0.00988633,-4.0440097,-0.017884847,-0.498021,2.5137901,0.45740414,16.924555,0.31632653,12.905541,0.87562627,11.027879,0.9740141,0.18222545,60.336254,-9.118655,16.515436,-0.003278417,-0.015945667,2.3957782,3.6036036,2.5176234,0.342,0.35824016,0.04823529,0.028745396,-17.5958,2
reggae_1,3,20.16697,0.37990028,15.128105,16.36104,22.988153,7.8600483,169.8061,205.113,56.033306,43.107456,2.0656123,0.46549264,1.2453054,1.7194878,2.980926,1.7356206,32.872795,16.707933,8.713038,3.6858504,2.132362,0.6016687,15.558313,0.39096272,13.623338,0.7260686,10.187999,0.77321714,9.262222,0.70564383,0.057342008,1.5393246,1.5809216,0.62263393,-1.0907818,-2.8638687,8.426184,1.7898219,21.985235,0.6013665,843.1291,0.33524957,1217.7563,0.19643664,-48.669174,-1.407342,1943.7534,0.16008276,891.8402,0.38961294,-51.262173,-1.2666055,2989.904,0.1160851,848.3406,0.45701316,-52.763477,-1.218077,-13.535473,-0.39069128,21.495073,0.32656753,-0.027545199,-1.3227806,-0.011791944,-0.46936435,2.3267515,0.5437268,16.700438,0.33514047,13.740621,0.74555236,11.315465,0.70187396,10.271302,0.6140276,-8.576599,15.188786,-0.009787503,-0.011383878,1.2650895,2.7027028,2.7190335,0.29407406,0.30965045,0.066190474,0.064103805,-18.600077,2
reggae_1,4,23.610382,0.39676118,15.642115,19.896635,31.985199,16.343084,397.87085,732.0776,115.0989,88.707794,2.3105168,0.45587227,1.4197066,1.8833418,3.3360362,1.9163296,31.519855,10.978091,10.052617,3.9531138,2.190155,0.5865091,16.417297,0.40328506,10.108966,0.9326681,8.170387,0.91261876,5.8882885,1.6690843,0.07428144,1.6518705,1.2511573,0.5484991,-0.707612,-4.681473,7.23644,1.9849051,19.874702,0.5659308,764.09357,0.37540752,1202.3881,0.18602583,-52.81276,-1.4244367,1831.8809,0.19202337,917.2647,0.31224206,-53.304745,-1.3167992,2899.1,0.118894584,798.8944,0.4463,-55.709137,-1.238076,-12.340953,-0.4043982,19.339792,0.3501295,-0.019311752,-1.9187331,-0.013885554,-0.6312563,2.4360173,0.52242124,18.110518,0.3244115,9.636048,1.0517031,8.7516,0.8761224,6.1808777,1.6846827,-8.1828,14.676896,-0.002866839,-0.01139441,1.2242622,2.8028028,2.3162136,0.3369565,0.34820575,0.08842105,0.097509146,-18.22192,2
reggae_2,1,20.368225,0.4188016,14.912467,16.533842,22.094265,7.181798,197.53273,200.8263,154.78983,126.70805,3.482603,0.41950062,2.203265,3.2509563,4.763628,2.560363,48.622036,29.04173,23.754347,11.73487,4.735186,0.52222896,19.416588,0.45164442,8.064351,1.5258636,8.554666,1.6415199,5.5053325,2.1113641,0.07971235,1.5782284,1.4078404,0.62519497,-0.1427097,-23.157877,-19.128733,-2.1575487,-7.8087153,-4.695316,631.441,0.4371641,1165.2537,0.24196845,-24.042465,-1.1743683,1648.0271,0.1949741,890.87,0.42302346,-26.351791,-1.0207644,2763.1096,0.10065507,749.4232,0.4808891,-30.807308,-0.83322275,-13.404259,-0.57430744,22.771797,0.39326388,-0.07607259,-0.6452973,-0.014396067,-0.66980386,4.7531013,0.52887356,19.40855,0.4544789,8.123513,1.5256857,8.802967,1.6026034,5.4772816,2.0883226,-12.453227,22.406595,-0.03943644,-0.012612618,4.675148,4.7047048,0.8056395,1.2049999,0.9935668,0.021666666,0.00372678,-11.083969,2
reggae_2,2,26.294888,0.3800648,14.896458,26.946249,38.450626,23.554169,290.78336,308.1585,204.71281,440.74457,3.2889736,0.41583848,2.0455208,2.9924457,4.6031466,2.5576258,46.497913,28.790674,25.78558,9.258255,3.9832802,0.6334678,16.615812,0.45041093,7.2927785,1.8277528,9.161193,1.7121482,5.625954,2.4083261,0.10009347,1.3576388,1.4288472,0.61962146,-0.6216661,-6.0508127,12.575912,3.459637,9.978766,2.0653503,651.23987,0.42266914,1135.9076,0.2267806,-36.077316,-1.5475379,1719.0449,0.17669472,797.09186,0.44058657,-36.438843,-1.3914729,2798.6555,0.09401122,781.82526,0.47920167,-38.41199,-1.2937092,-10.606406,-0.5957839,18.221766,0.4003802,-0.03299221,-2.0839238,-0.015846323,-0.6492115,3.9307108,0.6095815,16.964767,0.4441881,6.8858094,1.9585575,9.195634,1.75291,5.292955,2.6014328,-10.594821,19.616957,-0.04045125,-0.00982681,4.541491,4.904905,1.9153225,0.46210524,0.32038757,0.05214286,0.03529034,-12.885143,2
reggae_2,3,22.235924,0.42110837,14.873002,17.54916,33.09417,18.221169,230.16837,498.15134,200.918,454.74365,3.4498909,0.40118456,2.2373772,3.3243606,4.6595345,2.4221573,46.031452,28.95052,25.289417,11.590771,4.3634133,0.57161313,15.149895,0.5899887,10.784359,1.1284204,11.803395,1.3633333,7.706197,1.6573724,0.08912514,1.6170795,1.2458441,0.60749495,-0.7668827,-5.155128,-9.907252,-4.325315,-2.7116227,-13.002685,645.3681,0.43686625,1158.6549,0.25178638,-24.994413,-1.4439964,1715.5464,0.17107725,770.5177,0.5050993,-28.45886,-1.1920651,2786.3098,0.094772145,781.1203,0.48767963,-29.477335,-1.1368029,-12.380979,-0.6070888,19.43251,0.4727122,-0.06495715,-0.9304191,-0.01878388,-0.5289866,4.3885837,0.5608229,15.577204,0.56837505,10.683498,1.1365737,12.275791,1.3020244,7.6282387,1.6640327,-8.062013,15.764879,-0.02180614,-0.015034487,4.105508,4.4044046,1.0070494,0.944,0.77439266,0.04,0.026186146,-11.803431,2
reggae_2,4,18.196846,0.3234826,14.904428,15.357811,19.4858,4.5813723,82.351845,54.62765,89.19241,71.372055,3.3907506,0.39587665,2.1441379,3.2139404,4.6980205,2.5538826,52.018177,33.583023,22.116314,12.441522,4.4168105,0.5602919,18.23386,0.58182126,11.626801,0.95973635,9.068672,1.4519576,6.027404,2.0649145,0.05932057,1.3920289,1.4984398,0.6832695,-0.68688715,-4.3511963,-18.016691,-2.294656,-6.883848,-5.0338345,609.8791,0.40427557,1197.9419,0.22467265,-24.42339,-1.3883808,1648.3724,0.1835036,855.8252,0.40362898,-28.374495,-1.1557022,2739.9224,0.09598109,725.1056,0.559977,-31.96203,-1.0077835,-14.044105,-0.5141536,22.286722,0.4099697,-0.07939896,-0.5681663,-0.019288253,-0.6032783,4.453153,0.5474299,18.643452,0.569365,11.788382,0.9587752,9.469277,1.4021261,6.163829,2.053057,-5.4056783,11.853793,-0.026800193,-0.013800112,3.9009037,3.803804,0.91001016,1.0477778,1.4204441,0.04,0.015118578,-11.3897295,2
