group,token,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,target
salsa_0,1,33.308937,0.34737456,21.995644,30.997946,43.1604,21.164757,184.17046,142.89377,125.867805,98.250206,3.426561,0.37159652,2.5152252,3.3805864,4.6983705,2.1831453,17.744587,15.352003,13.468231,8.728225,2.2077332,0.5517313,13.100691,0.591045,-2.8824668,-3.0886462,0.2980508,32.96604,-6.8948836,-1.4432629,0.05596853,1.728902,1.2661045,0.5053954,1.789622,2.4552875,6.694676,1.7809335,12.209138,0.75071543,772.244,0.3284478,1085.8904,0.2536113,-19.688002,-2.4051013,1809.3453,0.16750012,942.1487,0.3720502,-21.817009,-1.9432762,2888.8945,0.10874869,725.53577,0.54124206,-25.956114,-1.5881948,-5.5901885,-0.7149862,14.053008,0.32408753,0.020640295,2.161577,-0.010506779,-0.74890995,2.2659955,0.51918566,13.464136,0.5766118,-3.2150733,-2.7074797,0.1844094,53.871494,-7.178242,-1.3948469,-3.019537,10.299841,0.028244233,-0.006593969,1.1922694,3.0030031,1.0070494,0.92599994,1.0478663,0.06285714,0.07832429,-15.962731,0
salsa_0,2,36.13037,0.31781593,22.25838,41.04955,44.51384,22.255459,182.4182,158.90295,98.09328,62.0522,4.2571692,0.18514559,3.5808463,4.4127593,4.933333,1.3524866,23.539082,15.800315,11.656756,5.808489,2.6494188,0.38268837,10.221191,0.5951691,-2.13296,-3.6313224,-1.982631,-5.480126,-8.4381895,-1.1323452,0.04659811,1.9107018,1.2180905,0.48579255,2.2207022,1.7686648,9.583633,1.2386895,11.442838,0.7587666,755.124,0.4010065,999.06714,0.26875567,-16.728086,-2.3923748,1823.1831,0.21809979,885.90765,0.40131417,-15.251214,-2.137955,2912.2383,0.1080407,705.89844,0.5999939,-19.917196,-1.5900363,-4.083021,-1.1367804,13.649412,0.38532433,0.006116062,6.6214304,-0.010704472,-0.7607451,2.6726263,0.3822387,10.344357,0.5809381,-2.1469827,-3.5854168,-2.0466244,-5.3140254,-8.547757,-1.1284735,-2.0366313,9.074583,0.01728934,-0.009239025,2.2001402,4.104104,1.2084593,0.78833336,0.6385769,0.036,0.02059126,-14.612342,0
salsa_0,3,35.598797,0.32028174,23.010693,37.42555,45.850117,22.839424,274.57944,325.66074,82.08115,54.402737,4.106916,0.21540527,3.2911532,4.052248,4.917886,1.6267326,24.186289,16.933495,13.375347,8.655808,2.6779609,0.42320648,10.774928,0.68023586,-4.379957,-1.7715976,-0.25580513,-33.863956,-8.341312,-1.1961963,0.054840162,1.7361536,1.3054051,0.4938643,1.2020322,3.092615,5.5189285,2.1674743,9.165866,1.2204051,815.24866,0.34333384,1057.6552,0.24427792,-11.551896,-2.265573,1861.5304,0.1666037,974.1755,0.3918729,-12.499782,-1.881409,2908.3262,0.11593233,751.1753,0.5733102,-16.235575,-1.4328774,-4.8798685,-0.7827645,12.985209,0.32755792,0.023106636,2.0241187,-0.009311846,-0.77018213,2.66363,0.41741174,10.887624,0.6657512,-4.3153973,-1.7843614,-0.1825086,-47.68323,-8.358331,-1.1997269,-3.6742706,10.981027,0.04656302,-0.013080214,3.5150456,4.004004,0.6042296,1.6183332,1.296372,0.04,0.01,-15.112518,0
salsa_0,4,36.19347,0.28306466,24.89151,38.037987,43.057114,18.165604,169.83563,129.79735,123.71207,106.58098,4.2528825,0.24038203,3.293434,4.372722,5.1783986,1.8849647,22.162786,11.177023,11.70268,7.9010963,2.6557763,0.38450894,10.056122,0.580306,-4.496181,-1.8324792,-0.34840158,-23.885788,-7.067644,-1.4158345,0.044069678,1.8312184,1.1582133,0.48207146,2.0420184,1.8801705,10.033371,1.0680406,10.567689,0.7306719,781.02893,0.39806172,958.2042,0.28499562,-8.922213,-2.9849963,1848.3915,0.2171398,873.1891,0.37702549,-10.469396,-2.1933448,2893.8018,0.12920138,754.16656,0.5492304,-14.147569,-1.6283768,-4.1344624,-0.96244425,12.986884,0.37761733,0.012145145,3.648769,-0.009300471,-0.7600346,2.667166,0.38826787,10.240706,0.55257106,-4.6405206,-1.7788616,-0.3441639,-24.123446,-7.1254044,-1.4056884,-3.0070662,10.488517,0.016517315,-0.00536284,2.4826055,4.204204,0.5035247,1.9499999,1.2827002,0.035,0.005,-14.864074,0
salsa_1,1,28.335096,0.33176357,20.466232,25.054678,39.110504,18.644272,178.31985,117.93603,275.6173,610.0054,4.3086877,0.3772538,2.6654623,4.409255,5.8120165,3.1465542,54.788807,29.599096,23.571554,11.117055,4.2842426,0.5715244,14.939523,0.52770454,4.508098,2.5033724,11.021837,1.115621,-4.1926675,-2.815436,0.05687559,1.8798537,1.1208181,0.5390704,1.1540024,3.1383,5.635352,3.2408798,13.099191,1.1979736,630.9907,0.48771003,1102,0.22818905,-39.905632,-1.6464806,1723.3649,0.20982642,780.5281,0.43862733,-36.14222,-1.5806582,2765.3079,0.11572927,666.4986,0.53815395,-37.354507,-1.5092409,-8.710766,-0.68873656,14.788257,0.48554674,-0.001090104,-35.291264,-0.015796745,-0.5001079,4.379035,0.54891384,16.07346,0.44288573,4.7898273,2.4013057,11.486303,1.0894791,-4.1410127,-2.9711158,-4.456641,8.893023,0.018402535,-0.010489443,3.7155874,4.6046047,2.3162136,0.36869565,0.40157625,0.057499997,0.04380354,-11.794393,0
salsa_1,2,28.707426,0.31822237,20.778736,26.946772,38.904602,18.125866,133.76083,117.248764,187.83952,308.2661,4.27587,0.31171235,2.966455,4.37437,5.4252048,2.4587498,52.8223,19.626917,22.477676,10.546689,4.289173,0.5204212,14.78237,0.4618748,5.3986917,1.8947058,10.580557,1.1572593,-2.4605772,-5.074012,0.053027563,1.7253474,1.3017775,0.58737123,0.8361473,4.1358666,5.5804935,3.1059322,12.471844,1.1036994,626.87646,0.49884272,1083.894,0.2436017,-34.292194,-1.8177348,1720.213,0.20401676,735.7244,0.38852474,-32.702164,-1.6049067,2767.7466,0.116698414,636.5244,0.4784994,-33.118286,-1.5678961,-8.960667,-0.61587703,14.804108,0.4408537,0.006082033,6.7859187,-0.017055748,-0.51298726,4.3675885,0.51281285,15.430236,0.42198434,5.4858575,1.9049145,11.201621,1.0905213,-2.417297,-5.3038583,-4.945248,9.644227,0.008285474,-0.015255701,3.56085,4.904905,1.812689,0.4888889,0.359535,0.060833335,0.046985522,-11.890335,0
salsa_1,3,27.564554,0.30490464,20.638214,24.68356,38.18158,17.543365,274.71536,403.95023,302.3426,589.3528,4.1365952,0.36522707,2.652536,4.0924954,5.634289,2.9817529,57.535507,24.483957,24.66751,9.526339,4.187074,0.5522376,15.209998,0.47630036,6.5537696,1.5630319,9.958501,1.2021667,-3.0810535,-3.95326,0.07328547,1.9715744,1.2454064,0.54610926,0.90142095,3.9693956,7.017329,1.9253693,15.396499,0.61437416,619.1393,0.48199937,1121.5239,0.23272952,-35.843014,-1.8077538,1721.9958,0.21373533,738.2284,0.38715515,-36.945007,-1.5100178,2766.9631,0.113717034,657.82715,0.5155294,-37.718624,-1.4706393,-9.718527,-0.5846097,15.743807,0.42994747,0.006086022,6.320346,-0.01667372,-0.5489954,4.3201833,0.5322993,16.161924,0.40691414,7.0705967,1.4966096,10.985004,1.0837852,-2.7306383,-4.5470123,-3.6989086,8.41972,0.023904962,-0.011539854,3.260423,5.005005,1.9133939,0.4547368,0.42582884,0.06142857,0.050122302,-11.977102,0
salsa_1,4,27.835278,0.32895643,20.108282,24.812618,38.82298,18.714697,209.54141,327.42886,221.39636,191.07404,4.366895,0.33918238,2.849613,4.4312587,5.7281594,2.8785465,54.6712,21.905752,23.559874,8.336254,4.2916217,0.4981152,14.03099,0.4944534,6.340286,1.6612642,8.677416,1.3517357,-3.5213377,-3.6147745,0.075143464,1.6526392,1.2579216,0.629652,0.94891894,3.8064904,3.6747677,6.8824253,10.727678,1.9214061,706.31946,0.47020632,1070.4841,0.25982106,-33.403446,-1.8376476,1802.6909,0.21616983,747.6757,0.45376348,-34.29197,-1.5935215,2857.749,0.12058121,608.18054,0.5574985,-35.14339,-1.5448481,-9.36036,-0.59211606,15.877456,0.37964007,0.005722654,6.7968674,-0.014868673,-0.58597267,4.437645,0.47790205,14.86952,0.4291411,6.6134834,1.6302321,9.079074,1.275183,-3.138325,-4.1926885,-4.603267,9.385648,0.03793937,-0.01153733,3.0734975,5.1051054,1.9133939,0.45842105,0.5149682,0.06909091,0.09219096,-11.670418,0
salsa_2,1,27.394014,0.3180903,18.42251,26.35826,36.745495,18.322985,149.71906,114.28057,114.373055,92.279854,2.032581,0.43822202,1.2748075,1.7632465,2.959029,1.6842215,32.385384,19.813911,9.441304,13.27787,1.5268886,0.60513115,24.815395,0.3808459,-4.5590806,-1.7087708,6.3071,1.455826,-10.147078,-1.1131358,0.059135262,1.840963,1.2371888,0.490824,-0.19493128,-17.499,1.548416,7.4970098,13.264497,0.64222366,666.99207,0.43529686,1247.5065,0.22607066,-26.268654,-2.3115556,1714.1143,0.20997478,996.0198,0.33446875,-31.464485,-1.7318138,2733.722,0.14053194,817.249,0.45462006,-34.639244,-1.5473123,-9.565601,-0.62462693,18.52362,0.32806402,0.04701788,0.70620334,-0.01633843,-0.4366441,1.4840848,0.56711453,25.802588,0.36151657,-4.085545,-1.9441441,6.606629,1.4188436,-10.447343,-1.1222212,-4.67173,13.358136,0.047387306,-0.010886403,1.9116437,3.0030031,1.9114689,0.45789474,0.35929137,0.053124998,0.032733534,-21.499203,0
salsa_2,2,30.151102,0.33733663,18.430119,28.718523,40.75136,22.321243,193.44154,124.04239,211.64444,319.4175,2.2353523,0.39715728,1.3975593,2.1293535,3.1106877,1.7131284,20.52572,13.616869,10.418303,6.6345706,1.6241951,0.52146983,23.848112,0.347486,-10.382605,-0.62308913,3.8512137,2.8289833,-10.064574,-1.1988443,0.089048795,1.5804558,1.2500412,0.47702914,-0.50474876,-7.0531335,4.164919,2.7138064,13.9986725,0.58440787,696.6524,0.4295617,1203.9768,0.20342702,-19.444399,-2.8121917,1736.7493,0.20528331,979.2615,0.30769312,-24.59089,-1.9680834,2781.5906,0.13597137,825.4191,0.3606214,-28.826336,-1.6447084,-6.9666557,-0.7676158,16.642975,0.33326805,0.04542299,0.7710009,-0.015663916,-0.41519862,1.6213601,0.5142452,24.35219,0.3359533,-10.115729,-0.63630754,3.6154885,2.9963963,-10.714966,-1.1399279,-2.0304792,10.721265,0.044031937,-0.008541049,1.7326112,2.8028028,1.4098692,0.6435714,0.48951292,0.051666662,0.018633898,-21.178648,0
